checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_status,delay_slices
connect,ended,-20.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,-3.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-36.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-29.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,1.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,11.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-148.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,37.0,no_rented_before,,delayed,Delay <= 1 hour
connect,ended,-37.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,358.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-5.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,17.0,rented_before,720.0,delayed,10 <= Delay <= 30 mins
mobile,ended,-72.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,161.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,146.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,-919.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-95.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,19.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,-26.0,no_rented_before,,in advance,In advance < 15 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,58.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,21.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
connect,ended,-1019.0,no_rented_before,,in advance,In advance < 30 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,181.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,14.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,8.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,77.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,-12.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-581.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,59.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,98.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,23.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,14.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,7.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-16.0,no_rented_before,,in advance,In advance < 15 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,55.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,101.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,47.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,21.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
